frequency,zeta.x,power,zeta.y,zeta,tau
116.27894083695,0.9478702209075835,2.5596227202774147,0.9509990527528832,0.9552338922743845,2663.6915070360856
116.28681188148012,0.9483393928220972,9.004819489410798,0.950838470554383,0.95496936409488,2664.3010186732276
116.29468292600916,0.9486028376506502,5.568134115944932,0.9512484974210926,0.9547022240714556,2664.910618334782
116.30255397053905,0.947869256254932,0.14878912147532736,0.9500374448143504,0.9544324398244222,2665.5203077759043
116.31042501506916,0.9472422782725332,0.5207494593619639,0.949232721031415,0.9541599784931176,2666.130088774979
116.31829605959804,0.9466088215749716,0.0395915963233837,0.9492118383763686,0.9538848067278535,2666.7399631340045
116.32616710412813,0.945975364877316,0.005756974382909385,0.9491909557213194,0.9536068906816165,2667.3499326789797
116.33403814865805,0.9465093411218468,0.5137210327496609,0.9493067680859746,0.95332619600206,2667.9599992603034
116.34190919318708,0.9461577201897232,1.7657575024188732,0.949232362945825,0.9530426878229276,2668.570164753173
116.34978023771718,0.945750103802058,0.0429414897236561,0.9473831189137786,0.9527563307554082,2669.1804310580005
116.35765128224712,0.9450740207228779,0.28334021280223565,0.9473416908819934,0.9524670888796338,2669.790800100832
116.36552232677616,0.944397937643782,0.25957284695079164,0.9473002628502134,0.9521749257356746,2670.401273833771
116.37339337130621,0.9443573765048816,1.6064271442911828,0.9468278518636928,0.9518798043144361,2671.0118542354194
116.38126441583618,0.9445435901748448,0.4006500076393868,0.9475763926782924,0.9515816870486873,2671.622543311318
116.38913546036505,0.9426519431992356,0.05167195404159783,0.947068064448926,0.9512805358036117,2672.2333430944027
116.39700650489513,0.9434751916125576,1.5131248829058126,0.9453818568064474,0.9509763118671776,2672.8442556454634
116.40487754942505,0.9427525391425994,1.7184741353685031,0.9453189548975176,0.950668975940744,2673.4552830536154
116.41274859395409,0.942029886672722,0.693188209600741,0.9452560529885948,0.9503584881290643,2674.066427436782
116.42061963848421,0.9422844056871128,0.05767793450274052,0.9450298257314156,0.9500448079302054,2674.6776909421797
116.42849068301413,0.9424343586655336,0.3860147388040758,0.9455982479470972,0.9497278942256099,2675.28907574682
116.43636172754316,0.9414083020721522,3.700109591635788,0.9433164938566524,0.9494077052696006,2675.9005840580176
116.44423277207315,0.9410369685295464,1.5973178296981827,0.9430799470309542,0.9490841986787779,2676.5122181139095
116.45210381660318,0.9402633292607104,0.7741231720935623,0.9428434002052539,0.9487573314215355,2677.1239801839824
116.45997486113205,0.9396715650010484,1.1847425853503522,0.9426068533795886,0.9484270598070792,2677.735872569616
116.46784590566216,0.9391584910133598,0.0023553456554787976,0.9432497950476924,0.9480933394741957,2678.3478976046276
