frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,height,AIC,n,l,tau,zeta
91.36288003731005,0.5816906669738549,0.046344003129829565,0.02195114021092613,0.10416828020680284,0.0254613664527275,2.3240248846661427,18.969085225544408,7.0,0.0,154.0666054463507,0.9900400867581792
96.92225971576305,0.5142303048538588,0.022748303346624758,0.01114031478307432,0.1205125979995304,0.021890993153800758,3.7001254658630143,18.350591402853755,,,822.9731074547869,0.696383086096514
97.43786378488774,0.4214518375138056,0.032009063368618154,0.02467947166683216,0.12870893508122513,0.03784231022461683,1.7663349586930142,4.975867824628949,,,896.3381540953661,0.8147267992990692
97.86586243156292,0.3347996900306069,0.003935522264846725,0.003300420098050177,0.13092940658610525,0.006175930869077024,9.066044534008894,8.64776914720278,,,948.3704340111996,0.9004210752663119
100.4722069987874,0.5940640248922238,0.04975271940159444,0.0238274095950062,0.10325424546370617,0.025051298014769137,2.2578745605827075,18.336365993440264,7.0,2.0,1223.5422350873623,0.9846973662599215
100.70860729811736,0.35249720348716995,0.005950954490335097,0.005328508991070007,0.1188530247500022,0.006391927239667564,6.6462220977633475,6.718525181349832,,,1247.2548429380088,0.9856242150959421
101.9091717756416,0.7424697245160432,0.02007552889551484,0.01276388327145352,0.2166218113361178,0.026047704462681773,8.740587606480894,-1.510678508071578,8.0,0.0,1365.768208403474,0.9877114837705036
101.95322917503712,0.9972997354077238,0.07533131971498705,0.023497490566143725,0.11963550905460685,0.027607860977782027,4.2026764762045055,23.141820460812607,,,1370.0610430403815,0.9877122662704723
105.8429832805652,0.34460068400731103,0.005780507771407224,0.006877150854639742,0.10711260249784857,0.0042695146618107385,6.539076350368147,7.965796783559201,,,1737.9506874042627,0.9506514773854359
106.65009970435452,0.8192464485125424,,0.0012230901233348614,0.3146824165306616,,27.14231539110341,28.674820687279862,,,1815.5252011844811,0.8787672681274902
106.98018291993591,0.6578757089297027,0.038243513313816216,0.017919029769921997,0.10619703260411184,0.017034315877139838,3.602301397885707,28.58235613573197,,,1849.7643987390575,0.8074273040996188
