frequency,power,tau,zeta
142.60759094705,1.7339213039843602,164.13073411869175,0.9825875511133222
142.61546199192,0.509520717874462,164.52458607500546,0.98257600635259
142.623333036789,0.0810693770845937,164.91839923851117,0.9825643358186976
142.63120408165898,2.02864629973617,165.3121736659896,0.9825525392622361
142.63907512652798,3.11324321011751,165.7059094143084,0.982540616430423
142.64694617139799,1.3221414738437,166.09960654042334,0.9825285670670753
142.65481721626801,1.40301137739106,166.49326510137988,0.9825163909126071
142.66268826113702,1.60462372083814,166.88688515431443,0.9825040877040121
142.670559306007,0.165997633549184,167.2804667564557,0.9824916571748428
142.678430350876,1.76090919374253,167.6740099651262,0.9824790990552084
142.686301395746,0.406116621787225,168.06751483774357,0.9824664130717485
142.694172440615,0.17658570505731006,168.460981431822,0.98245359894763
142.702043485485,0.4443229480437221,168.8544098049736,0.9824406564025192
142.709914530355,0.144814917420453,169.24780001490987,0.9824275851525796
142.71778557522399,0.873066221978507,169.64115211944306,0.9824143849104503
142.725656620094,0.100429853068141,170.03446617648765,0.9824010553852265
142.733527664963,1.79244214505947,170.42774224406176,0.9823875962824548
142.741398709833,1.23442379686719,170.82098038028855,0.9823740073041042
142.749269754703,0.9652907119776178,171.21418064339764,0.9823602881485624
142.757140799572,0.6792289913689791,171.60734309172673,0.9823464385106135
142.765011844442,1.30925214033932,172.00046778372283,0.9823324580814169
142.772882889311,0.0689341931670978,172.39355477794388,0.9823183465485024
142.780753934181,2.0257386065642,172.7866041330601,0.9823041035957398
142.78862497905,0.0686295990247348,173.17961590785563,0.9822897289033351
142.79649602392,1.68249204667335,173.5725901612298,0.9822752221477998
142.80436706879,0.266563317065659,173.96552695219876,0.9822605830019452
142.812238113659,0.388687131532199,174.35842633989697,0.982245811134859
142.820109158529,0.19519991094926606,174.75128838357858,0.9822309062118826
142.827980203398,0.5498736616373749,175.14411314261912,0.9822158678946054
142.835851248268,0.4737842426135621,175.5369006765169,0.982200695840831
142.843722293137,1.43417176401183,175.9296510448945,0.9821853897045737
142.85159333800698,0.547869814851693,176.3223643075005,0.9821699491360253
142.859464382877,2.53771281220026,176.71504052421065,0.9821543737815478
142.86733542774599,1.62379595606093,177.1076797550298,0.9821386632836492
142.87520647261601,0.134870396164584,177.5002820600933,0.9821228172809581
142.88307751748502,1.41269904311032,177.89284749966845,0.9821068354082167
142.890948562355,0.10549116237401,178.28537613415628,0.9820907172962459
142.898819607225,1.2482307697888402,178.6778680240929,0.9820744625719378
142.906690652094,0.0241496345687316,179.07032323015136,0.9820580708582305
142.914561696964,0.202088727085291,179.46274181314288,0.9820415417740793
142.922432741833,0.15843547647827802,179.85512383401883,0.9820248749344521
142.930303786703,0.382098106580079,180.24746935387208,0.9820080699502892
142.93817483157196,0.0234133893304735,180.63977843393872,0.981991126428501
142.94604587644199,1.07360077850865,181.0320511355997,0.9819740439719257
142.95391692131201,0.105250215624152,181.42428752038234,0.9819568221793262
142.961787966181,0.20294500654728506,181.81648764996217,0.981939460645359
142.969659011051,0.0270133415309902,182.20865158616445,0.9819219589605449
142.97753005592,0.6176591361483511,182.6007793909658,0.9819043167112621
142.98540110078997,0.331679762367926,182.99287112649603,0.9818865334797054
142.99327214566003,1.9477126489489696,183.38492685503965,0.9818686088438778
143.001143190529,0.3514307886824989,183.77694663903765,0.9818505423775614
143.009014235399,2.77038343980902,184.16893054108914,0.9818323336502848
143.016885280268,0.13076114925113902,184.5608786239532,0.9818139822273164
143.024756325138,0.43831123335658095,184.95279095055037,0.9817954876696205
143.032627370007,0.7163412084368651,185.34466758396462,0.981776849533852
143.040498414877,1.02284289390257,185.73650858744486,0.9817580673723116
143.04836945974702,0.966777835567788,186.1283140244069,0.9817391407329377
143.056240504616,2.3382112963463904,186.52008395843504,0.9817200691592735
143.064111549486,0.516879915971853,186.9118184532839,0.9817008521904339
143.07198259435498,1.18188635718173,187.3035175728802,0.9816814893610958
143.079853639225,0.29120286659882205,187.69518138132463,0.9816619802014526
143.087724684094,0.451095560434149,188.08680994289347,0.9816423242372071
143.095595728964,0.314706698576123,188.47840332204055,0.9816225209895245
143.103466773834,0.179086134891284,188.86996158339903,0.9816025699750222
143.111337818703,1.71517409078839,189.26148479178315,0.9815824707057347
143.119208863573,0.148069775522162,189.65297301219024,0.9815622226890783
143.127079908442,0.6970282564503489,190.04442630980242,0.9815418254278403
