frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,height,AIC,l,n,tau,zeta
139.9219297897925,0.4862777451389472,0.01747648755586531,0.00991034028638681,0.10786076493682324,0.012464596657144826,4.30689975674708,16.964107564224832,2.0,8.0,27.126654661769898,0.9798301051014194
140.2237299025266,0.4647486972569738,0.02085546923992132,0.01288826662983432,0.104251168775804,0.014193542517373509,3.2966020449699736,12.50395737171493,,,42.815243559512325,0.9808998373689941
141.78130409529757,1.0035868809569009,0.062290466327681676,0.017718229061727802,0.1075249004057198,0.020282012045064284,5.146814267208129,102.5345764647027,0.0,9.0,122.55818634164446,0.9831324215795225
146.67787685895402,0.3254332112662049,0.003935522434474592,0.003062806525660444,0.13265446359356106,0.00801091945496339,8.565869984492236,15.918341403976227,,,365.075126592738,0.927014912608661
148.20833272456628,0.7091030424711559,0.006051799604020105,0.003508121684210375,0.1816372882778759,0.00477320569722661,26.44747932040089,78.3483443414516,,,449.7320985294306,0.6704531705728508
149.2172151136358,0.9237392387026084,0.01175597575373266,0.0054423419753308324,0.16539251896426704,0.005347868257284484,23.104162458569192,136.62898984468484,,,532.4135952264592,0.5912127898055446
149.74379453106815,0.23253698121459385,0.003935522434474592,0.003414976472812089,0.10103644289122626,0.0070868965251178265,4.373526831065096,1.296112327294395,,,566.9650442396562,0.7682819407531676
150.72612781380366,0.4350510340615688,0.003935522434474592,0.0029124930269420358,0.158362716739897,0.0062015148380488464,15.308341621106234,23.00876761268228,,,617.9402149884727,0.9114505544335257
152.55992821681974,0.36950951810166177,0.003935522434474592,0.003166888241731561,0.13782026915418968,0.006818341451518118,11.043303155610605,14.783401150332791,,,702.1002265396473,0.9676271786087365
153.56908636409275,1.0185910602165051,0.0335762182690708,0.010928606385125795,0.12435605468130358,0.011848656729586621,9.835989768617221,128.7548884658754,2.0,9.0,746.4077360809096,0.9755061861494488
153.8705831637627,0.4874666508335645,0.014623681437518575,0.010122451887840087,0.10997388269806696,0.008808265662615224,5.172294307723703,15.11992579696016,,,759.4769683322553,0.9768585875344556
154.49515251671212,0.5767581133368778,0.003935522434474592,0.002699985612403745,0.17858276174579155,0.003636296777157336,26.905134032645645,54.68171972998971,,,786.3424391375057,0.978731754707847
155.4383854830756,1.6757441060513023,0.0670493650113064,0.014261855454782087,0.1356337279946589,0.015229643765925581,13.331249582553925,405.7844088570237,0.0,10.0,826.4433923981377,0.9797937541432656
156.49127500961276,0.5474704075291518,0.003935522434474592,0.00293542808731342,0.14239658580353962,0.002809999943743553,24.242032729287487,63.63555974124756,,,870.6314805388284,0.9788120809062246
160.55608093887116,0.8783299125753647,0.003935522434474592,0.0024425368297314033,0.2515020876673637,0.0027205033251349892,62.39690978306637,162.45704051065331,,,1039.2978322365923,0.901781888875686
162.20598177745856,2.3297713436000875,0.016884321383996138,0.005392550180039995,0.32252976934957794,0.0054306248121897115,102.32767707451904,1111.3402075624906,,,1124.723275090506,0.5187356572849543
163.3976447042501,1.6896855022808046,0.009566392982261477,0.004032884771796228,0.3105271809732844,0.004257259841745368,94.9978257176008,566.9328130902722,,,1208.558475699722,0.721781548563418
163.86546687743166,0.2324055532625971,0.003935522434474592,0.0040526053143454775,0.11338527687753013,0.010662549396103864,4.36858446676416,0.3594910425854323,,,1230.9397791854049,0.8295766872498944
164.9919444145376,0.358440163274796,0.021708842524469227,0.015468322337911325,0.13589103057864102,0.03349134370026676,1.883852049494716,2.1439934112204355,,,1277.7347905205243,0.9301205748628784
165.35975997311408,0.5399321350081553,0.003935522434474592,0.002613479913275019,0.17792851611478494,0.004001505742358275,23.57903824881939,45.36342783834698,,,1292.117807622033,0.9433707924804888
167.33913311129518,2.150592366088795,0.016746105460352618,0.005519748127020902,0.30139257154332816,0.0055519586019080105,87.9128794923788,813.9955146370194,2.0,10.0,1366.544186578557,0.9714572966680903
167.64835010855424,1.2274794728022798,0.021190737091557242,0.007764558657830114,0.1693224995624008,0.007656811870988173,22.632500583235718,176.08857842409267,,,1377.879995824744,0.9730073716754258
169.18904126245118,2.7784808989865346,0.035901936506926774,0.008047782485887799,0.2681217605351429,0.008698662753033808,68.44584411153201,1507.6393206433313,0.0,11.0,1433.5806201983935,0.9761744890735796
172.02435674071606,0.7619323105639669,0.05319295570238783,0.0205319562644424,0.10282865476403168,0.020532988772087587,3.4739917746145723,45.05975394350389,3.0,11.0,1533.7450561879793,0.963761766065099
172.35177785133897,0.5723855821668015,0.003935522434474592,0.0028380889907008862,0.17643187002889146,0.004072929921021467,26.498732826976944,63.97151493543061,,,1545.2280296273257,0.9595077923702825
174.6793769762494,1.7116473085551176,0.003935522434474592,0.002072681107710945,0.4226751496998576,0.002169115491130013,236.9606857077557,790.2386822121408,,,1629.2790392913591,0.838558960260955
176.02140079797582,0.3663778400046723,0.003935522434474592,0.004685172422647122,0.1558869227589602,0.006696157948414783,10.856907325733173,3.6369754250517863,,,1697.1430238817127,0.44510794651822144
176.0826230002937,0.4089526933395013,0.003935522434474592,0.003617097434558408,0.2163524630110908,0.008223811614146245,13.526762985101788,3.65427995923892,,,1701.6570588313787,0.4323648575350195
176.22930540895743,2.6140829552717224,0.01837765520083039,0.0055597314124980965,0.3468799381471909,0.005849317365839362,118.35831096733908,1390.190442849762,,,1712.8159560500212,0.4200630596865796
176.89611432146546,0.2461493341975557,0.003935522434474592,0.004062945766860809,0.107422488984056,0.0071064665039037205,4.900552719809206,0.7929764997643359,,,1756.3479340742147,0.6163264968743758
177.8873156088328,0.9245676834045052,0.010916507726253114,0.00514212652581105,0.17103441358844626,0.005250905391919793,24.92549659515484,135.9091542409515,,,1798.2339293625187,0.854394792643089
180.3969884117413,0.468499875716796,0.007501697413584059,0.006081016077859465,0.12382519794222616,0.004922260027856482,9.31342764118404,17.759266749850212,,,1882.5987992017826,0.9611507131580089
180.4538885185796,0.33963723615809643,0.008132216753508352,0.008104079295099886,0.11312720594253875,0.0072080935499346625,4.515145789751505,2.378448011171713,,,1884.4166034157581,0.9617661452789218
180.7474940998109,0.9389615178937242,0.00714260213807582,0.003933446701709578,0.2109943033288094,0.003998061894205822,39.290653761621,129.30818345243824,,,1893.7614376584938,0.9645389310091799
181.2377785036276,1.9079871001093127,0.029192719949095943,0.00773786159040349,0.20956074506824124,0.008421230564439025,39.694143418384684,640.3476135060846,2.0,11.0,1909.2482212281125,0.9679435177683703
182.4330708706388,0.4532398321399998,0.01790730233826554,0.011277085172127829,0.17398063160089766,0.032341410914298346,3.65154032698089,6.4564032549897075,,,1946.5019407305049,0.9719283433703463
182.86194179253224,1.879026822497828,0.0502583813564717,0.01106230065233615,0.1662866002037136,0.01300204801082998,22.36184274270123,552.5164575041999,0.0,12.0,1959.7255075777816,0.972279315345837
183.08853035548387,0.569816558402159,0.004333409945525953,0.004325950228935398,0.18594375537368152,0.003550139770493996,23.85011526239293,18.80195631747484,,,1966.6860374311973,0.9722692127508197
185.85363462121222,0.9537751803866684,0.009009916619925076,0.0043891076565062935,0.1908546673085505,0.004876403248547303,32.13818815407757,154.25990217240542,,,2050.688987279584,0.9563100296840683
188.52848310391013,0.9072289042138996,0.008311403822049165,0.004262501208144003,0.1879462991317778,0.004575601918267961,31.521690483987985,138.15155218303698,,,2135.043249787992,0.7913888305621037
190.12747095640407,1.352672646216602,0.049840683352640254,0.012449411202987084,0.13058036552131955,0.014254665567649703,11.685614488345456,252.9133265024393,,,2220.196224442652,0.4095801477263656
192.2305673468787,0.6906699401966069,0.00892284219868605,0.005157604389481105,0.1471095217079853,0.004717405196372261,17.01719691393099,67.29606844312366,,,2304.5119984989224,0.8969956619120562
193.84850473396088,0.2315230707338049,0.003935522434474592,0.004435633892499414,0.1021387836290495,0.004821919947904228,4.335470971869092,1.5063730503279658,,,2351.1641339532475,0.951737385106139
194.4834798096384,0.5630372194899241,0.06717591474944531,0.041532522115463835,0.1092388187216441,0.034055298170761784,1.502141165125826,9.758228647693613,,,2368.7818921182734,0.9594811768469078
195.177911962614,1.1407412553571514,0.08873651457236098,0.02224276490240416,0.10941878001506164,0.027123288959394025,4.667905523336186,121.92027949370821,2.0,12.0,2387.7932770204807,0.9644878612414662
196.81793326931046,1.2181229163692255,0.11099913093799638,0.025196526105478543,0.10680244233694963,0.0306023603832354,4.2551294421480925,138.2432546547789,,,2431.9381628994793,0.9680978203220032
201.51443352191313,0.5050849179031272,0.02197026017627264,0.012384322543076752,0.10312778282541983,0.01322909418331269,3.6961001316328814,17.640018938614958,,,2557.301700373211,0.868565784580057
203.77422440790573,0.7806240026485004,0.08548065663515128,0.06793861458754848,0.2420895354450525,0.05026668709594717,2.2691650160826184,23.23045815286241,,,2654.3579135241953,0.3650041727446175
