time,time_raw,flux
54954.4382787,54954.4382787,-308.7999743753172
54954.4587134,54954.4587134,-310.18059447744884
54954.4791479,54954.4791479,-165.1619050171854
54954.4995825,54954.4995825,-411.7650848593385
54954.5200171,54954.5200171,-683.1268598204741
54954.5404518,54954.5404518,-753.7200758473668
54954.5608864,54954.5608864,-537.9174943032689
54954.5813209,54954.5813209,-142.34601652876947
54954.6017556,54954.6017556,114.39919787829577
54954.6221902,54954.6221902,139.04556285832595
54954.6426247,54954.6426247,58.958710552306265
54954.6630593,54954.6630593,-9.648543285280367
54954.683494,54954.683494,348.4590920106499
54954.7039285,54954.7039285,466.11511899350796
54954.7243631,54954.7243631,648.8463246339954
54954.7447978,54954.7447978,710.3027066419037
54954.7652323,54954.7652323,329.2857065831331
54954.7856669,54954.7856669,107.15284818041297
54954.8061015,54954.8061015,28.656761819339884
54954.8265361,54954.8265361,116.4231537945992
54954.8469707,54954.8469707,281.45224917496057
54954.8674053,54954.8674053,-14.549652557364384
54954.8878399,54954.8878399,-221.09730595793226
54954.9082745,54954.9082745,-465.22178657862804
54954.9287091,54954.9287091,-485.95343320732735
54954.9491436,54954.9491436,-125.62164864591111
54954.9695783,54954.9695783,208.7729922298396
54954.9900129,54954.9900129,307.2211336776573
54955.0104474,54955.0104474,74.20893958858433
54955.0308821,54955.0308821,-40.049133503830774
54955.0513167,54955.0513167,-100.20776136884243
54955.0717513,54955.0717513,-130.92267926371272
54955.0921858,54955.0921858,97.40705043645077
54955.1126205,54955.1126205,128.85309938478284
54955.1330551,54955.1330551,32.16710218535602
54955.1534896,54955.1534896,-291.40778356810415
54955.1739243,54955.1739243,-490.9862129284388
54955.1943589,54955.1943589,-417.506796146393
54955.2147934,54955.2147934,-178.42334023171932
54955.235228,54955.235228,65.09624734405435
54955.2556627,54955.2556627,413.63638340263935
54955.2760972,54955.2760972,499.5519333331019
54955.2965318,54955.2965318,436.1158563033477
54955.3169665,54955.3169665,474.84971066247886
54955.337401,54955.337401,392.04254665945024
54955.3578356,54955.3578356,377.5940811251483
54955.3782702,54955.3782702,327.946559436579
54955.3987049,54955.3987049,409.718199592727
54955.4191394,54955.4191394,564.504839791646
54955.439574000004,54955.439574000004,613.3918381708282
54955.4600087,54955.4600087,476.12494136498975
54955.4804432,54955.4804432,333.6451688663494
54955.5008778,54955.5008778,112.7968017736204
54955.5213123,54955.5213123,7.080359480766388
54955.541747,54955.541747,24.86779754666556
54955.5621816,54955.5621816,119.01237307291922
54955.5826162,54955.5826162,234.25113768621108
54955.6030508,54955.6030508,533.7207973953814
54955.6234854,54955.6234854,811.3944069144628
54955.64392,54955.64392,500.87738992019536
54955.6643545,54955.6643545,10.728570685158603
54955.6847892,54955.6847892,-237.810005192404
54955.7052238,54955.7052238,-279.26117628083546
