frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,l,n
52.35092496172092,0.556075708724239,0.06831265578168955,0.03395684333262956,0.1116182895273409,0.04197514334803847,0,1.4408434802961776,10.906534920595732,2,6
53.302717544495714,0.6515300666141136,0.019921475073324403,0.00942027184627864,0.11818249450833428,0.01125952809755397,0,6.782621143291228,41.27159421719625,0,7
58.582735809343795,1.0100150250361963,0.0571480216543258,0.01686005706890658,0.1129149334655214,0.01994540290923308,0,5.682044040291619,97.64126648551246,2,7
59.45324455846941,1.341739780771857,0.08409172829705455,0.01816018329384741,0.11935697552093635,0.02652610819568102,0,6.814491298403505,200.2663312871227,0,8
65.08539056982535,1.7988597162262672,0.07141099355869511,0.01445897291048689,0.14271607540443623,0.01744793032352064,0,14.423798421411592,436.3374449605435,2,8
65.9508432707616,2.306908460321704,0.026483915887886827,0.00707358167180102,0.26096069798765975,0.00764373541197414,0,63.96297438072668,920.0818790373014,0,9
67.2707700264305,0.658429799426335,0.023351084161813914,0.01018437480822716,0.11568333293903414,0.01392574181302741,0,5.909653726779653,39.193310220489366,3,8
71.6173610561897,2.158981525474851,0.0693008708235477,0.01363924787515969,0.16635593532373608,0.01529862748184614,0,21.40963619248979,588.9550569166604,2,9
72.44269519103416,2.5731930750598395,0.06188338041475573,0.01169298107219927,0.1992590273207006,0.0136390833812378,0,34.05813369527087,957.3037688779297,0,10
73.84151865132351,0.6051085307778703,0.02218341298910032,0.0122621181566397,0.11923417484014794,0.01458341228235237,0,5.253978775254085,24.269692010806462,3,9
78.14598495964219,1.9887524016646831,0.09581672452135441,0.01830317453161217,0.14136059673486415,0.0192651159301476,0,13.139239865864011,428.5289600470751,2,10
78.94874086149453,2.339800445487038,0.07148872615557346,0.01352225788273001,0.17469675750051142,0.01500769170896115,0,24.376435904811224,704.9618062460358,0,11
80.44640988545362,0.7948798033577655,0.16019952615161287,0.05536970441852335,0.14717646879457968,0.10628804145647576,0,1.25542804149276,19.93795543327724,3,10
84.85020978561822,1.6953822378031853,0.21834815757512738,0.04131258511102743,0.1160947951615695,0.04360925706477822,0,4.190210620339688,214.19750127587395,2,11
85.6525774109122,1.603950218145887,0.09287134895780236,0.02034441221840762,0.13081887082235774,0.0225498559003596,0,8.817594919872425,221.61948789423695,0,12
91.62784114560769,1.4381290471691865,0.2205613618795284,0.04494186987852498,0.11332308699294638,0.05342822037113363,0,2.9848080615714085,146.25262103252317,2,12
92.29100510801881,0.7793242656842946,0.061555236113135424,0.025077513032035,0.1398618501824637,0.03724846351801789,0,3.140664342511641,23.82681458418665,0,13
92.5279701262787,0.6437998366663344,0.04109214854765717,0.02186545393815151,0.1252898433613328,0.02539877189427082,0,3.2106502770421304,15.77491762934369,3,12
