frequency,linewidth,height,snr,AIC,amplitude
43.1314060347095,NA,7.250753733992237,NA,4.023691531212535,0.2994109688277673
43.60329168150698,NA,8.730482225988771,NA,5.551084907718177,0.3285452898353383
43.69047610593213,NA,7.524776086182136,NA,2.2853982280066703,0.30501620948914715
44.800092554511124,NA,7.870047446031406,NA,6.378214521304471,0.31193550120316493
45.439541299724446,0.005799544578153822,4.090956538582876,1.7185193315686391,2.8124490097980015,0.27301362073948493
45.76426781727945,NA,10.64563001269799,NA,16.84371175085107,0.36279543454252355
45.86643193039944,NA,7.8889938150759455,NA,6.033491925314593,0.31231075258987295
46.5511035544148,NA,8.722312423609818,NA,5.316616592637729,0.3283915309559413
46.86026487578692,0.040724635842792636,3.778432957221282,4.377592418564214,19.609321798176097,0.6952794629859887
49.451771260076164,NA,6.82038754790429,NA,2.5404915573672042,0.29038933053191274
50.17397471247556,0.01482502109764635,3.2807975941539405,2.226110251074532,7.47756747573294,0.3908969801164282
50.27236277175967,0.009455331650610901,4.970325810701976,2.7216142799984113,4.884097075839236,0.3842428091486343
50.42584814424287,0.009455331650610901,5.72443699537242,3.1565503248572995,6.816357966599753,0.41236301803240855
50.85689575233341,NA,6.784386105497434,NA,2.0856330207316205,0.2896219058686926
51.860224374851775,NA,6.842030257935431,NA,2.226679721738037,0.2908497027708205
51.97083352909786,NA,8.770838819108317,NA,5.833900075005658,0.3293037634900456
52.02522379859843,NA,7.679105822947221,NA,4.499610055048834,0.3081282059653164
52.16739111661813,NA,7.177968668426089,NA,2.9314514478392084,0.2979043934991352
53.474041913906525,NA,8.822452689131715,NA,7.393618107198563,0.3302712712855664
54.678433390117455,NA,7.9873780564303,NA,3.2254825893687666,0.31425214409817603
54.77066484222893,0.011257547921748318,3.9593486617493796,2.3483617568171113,2.192836399015505,0.3742042471175955
55.30402195104544,NA,9.096827270331916,NA,10.719646270692465,0.3353676002914481
55.68370603238542,0.005799544578153822,6.52619244309846,2.805657938181979,4.079455690800387,0.3448274415044737
56.108742448492755,0.02010641110241836,5.996906058108478,4.916076624973363,35.451769268991484,0.615468511012808
56.27403438809005,0.009455331650610901,18.1486390685191,10.595983038024741,87.53592364999349,0.7342354540501375
56.45900393954417,0.018353828949558705,3.506622415936708,2.6689655792502154,12.128912116393622,0.44965847024425554
56.63216692388419,0.02359157415187841,7.589388707138012,6.842879069591823,73.79403751093923,0.7499922831060283
56.832878564823766,0.016593660564467278,5.642928121756179,4.171692202978912,12.751166271547845,0.5423732933172295
57.0160715592617,NA,9.962565470409297,NA,10.053630719383364,0.3509633148298688
57.2758255139133,NA,7.731118833512702,NA,2.6669348116847686,0.30916996975187594
57.590414031618074,NA,7.820560066651945,NA,4.766897902445635,0.31095321906259504
58.93630012498524,NA,6.7388919927119355,NA,2.4730424178997055,0.28864921249792697
59.12167948102376,NA,7.936494673573874,NA,3.588044766758685,0.3132495773111714
59.337553835058195,NA,7.057726637109881,NA,3.3234670447782264,0.2953986768029488
60.440195891575605,NA,10.803655240593546,NA,11.285822446181555,0.365478208555047
61.81131436459946,0.003934553847189552,25.67769995650685,NA,45.42746351346432,0.563379114586921
62.15171717318763,NA,9.214886968283503,NA,4.001191179479065,0.3375368050795589
